date,Dem,GOP,DemSeats,GOPSeats
09/01/2022,70.95,29.05,50.96,49.04
09/02/2022,69.75,30.25,50.87,49.13
09/03/2022,72.48,27.52,51.05,48.95
09/04/2022,72.48,27.52,51.05,48.95
09/05/2022,72.48,27.52,51.05,48.95
09/06/2022,72.46,27.54,51.05,48.95
09/07/2022,70.59,29.41,50.80,49.20
09/08/2022,68.42,31.58,50.83,49.17
09/09/2022,68.03,31.97,50.81,49.19
09/10/2022,68.03,31.97,50.81,49.19
09/11/2022,68.03,31.97,50.81,49.19
09/12/2022,69.22,30.78,50.82,49.18
09/13/2022,70.26,29.74,50.91,49.09
09/14/2022,70.52,29.48,50.98,49.02
09/15/2022,71.62,28.35,50.98,49.02
09/16/2022,71.39,28.61,51.01,48.99
09/17/2022,72.17,27.83,51.01,48.99
09/18/2022,70.79,29.21,51,49
09/19/2022,71.70,28.30,51.07,48.94
09/20/2022,71.27,28.73,51.04,48.96
09/21/2022,73.07,26.93,51.15,48.85
09/22/2022,71.70,28.30,51.04,48.96
09/23/2022,72.23,27.77,51.10,48.90
09/24/2022,72.23,27.77,51.10,48.90
09/25/2022,72.23,27.77,51.10,48.90
09/26/2022,70.90,29.10,50.99,49.01
09/27/2022,71.76,28.24,51.27,48.73
09/28/2022,72.53,27.47,51.11,48.89
09/29/2022,71.98,28.02,51.08,48.92
09/30/2022,72.19,28.81,51.1,48.90
10/1/2022,73.03,26.97,51.15,48.85
10/2/2022,73.07,26.93,51.15,48.85
10/3/2022,73.47,26.53,51.16,48.84
10/4/2022,72.45,27.55,51.16,48.84
10/5/2022,74.88,25.12,51.25,48.75
10/6/2022,74.59,25.41,51.20,48.80
10/7/2022,74.45,25.55,51.20,48.80
10/8/2022,74.45,25.55,51.20,48.80
10/9/2022,75.13,24.88,51.20,48.80
10/10/2022,73.91,26.09,51.18,48.42
